"uniqRowID","overalGradeDiff"
"000143a7618ac9cae91b0bf7d059c1fd_4",17.1082064635102
"000143a7618ac9cae91b0bf7d059c1fd_5",68.1020740916356
"000143a7618ac9cae91b0bf7d059c1fd_6",17.1082064635102
"000143a7618ac9cae91b0bf7d059c1fd_7",17.1082064635102
"0019bbc70f71e4620273237a1e99bfde_1",17.1082064635102
"0019bbc70f71e4620273237a1e99bfde_11",35.6514310555558
"0019bbc70f71e4620273237a1e99bfde_2",17.1082064635102
"0019bbc70f71e4620273237a1e99bfde_4",31.0156249075444
"0019bbc70f71e4620273237a1e99bfde_5",17.1082064635102
"0019bbc70f71e4620273237a1e99bfde_9",12.4724003154988
"00e96ba3612eb828cbb6511fe2e899f3_1",12.4724003154988
"00e96ba3612eb828cbb6511fe2e899f3_11",21.7440126115216
"00e96ba3612eb828cbb6511fe2e899f3_14",12.4724003154988
"00e96ba3612eb828cbb6511fe2e899f3_4",12.4724003154988
"00e96ba3612eb828cbb6511fe2e899f3_7",26.379818759533
"00e96ba3612eb828cbb6511fe2e899f3_9",12.4724003154988
"01ce9bb3e240242c13adf7e95f09b865_1",17.1082064635102
"01ce9bb3e240242c13adf7e95f09b865_2",72.737880239647
"01ce9bb3e240242c13adf7e95f09b865_4",156.182390903852
"021dda0c1bad52f0b5a3829ad0a8e0de_4",12.4724003154988
"021dda0c1bad52f0b5a3829ad0a8e0de_9",12.4724003154988
"022c90700569a3674e703860b70614b2_1",12.4724003154988
"022c90700569a3674e703860b70614b2_14",12.4724003154988
"022c90700569a3674e703860b70614b2_15",17.1082064635102
"022c90700569a3674e703860b70614b2_4",17.1082064635102
"022c90700569a3674e703860b70614b2_5",26.379818759533
"022c90700569a3674e703860b70614b2_7",21.7440126115216
"022c90700569a3674e703860b70614b2_8",12.4724003154988
"022c90700569a3674e703860b70614b2_9",17.1082064635102
"02690b095cb73fd9d47fde5671eb5d22_1",26.379818759533
"02690b095cb73fd9d47fde5671eb5d22_2",54.1946556476014
"02690b095cb73fd9d47fde5671eb5d22_4",26.379818759533
"029c116f4649c2bf527e55afb32fcae5_0",17.1082064635102
"02c78549a70435837a6b4d35a1e6fadd_1",21.7440126115216
"02c78549a70435837a6b4d35a1e6fadd_11",12.4724003154988
"02c78549a70435837a6b4d35a1e6fadd_14",12.4724003154988
"02c78549a70435837a6b4d35a1e6fadd_2",17.1082064635102
"02c78549a70435837a6b4d35a1e6fadd_5",26.379818759533
"02c78549a70435837a6b4d35a1e6fadd_7",31.0156249075444
"02c78549a70435837a6b4d35a1e6fadd_8",17.1082064635102
"036229fe75b61a8310e112b2ca147c2e_1",12.4724003154988
"036229fe75b61a8310e112b2ca147c2e_11",17.1082064635102
