,ProblemID,UserID,SubmissionNumber,DistinctVideoChange,TotalNumberSubmissions,MaximumNumberSubmissions,TimeStamp,TimeSinceLast,Grade,GradeDiff,NVideoEvents,NForumEvents,NumberOfThreadsLaunched,SeenVideo,ComAndPost,NumberOfPauses,NumberOfThreadViews,ScoreRelevantEvents,AverageVideoTimeDiffs,NumberOfPlays,NumberOfComments,DistinctIds,TotalVideoEvents,TotalForumEvents,DistinctPostIds,NumberOfDownloads,DurationOfVideoActivity,NumberOfSpeedChange,EngagementIndex,NumberOfPosts,NumberOfLoads,SelectiveNumOfEvents,NVideoAndForum_,PlaysDownlsPerVideo,NVideoAndForum,VideoForumThreads,Speed,VideoThreads,SeenVideoForum,TimeSpentPerVideo,AveragePausesPerVideo,AveragePlaysPerVideo,AggregatingVideoForum,PlaysTimesThreadViews,AverageNVideoEvents,AverageNForumEvents,SumAverages,SubmissionsLeft
0,0,730a65f226b0663226b38ae00ccab79a,1,1.0,1,1,1394570921,27286.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,0.0,1.0,6.0,0.0,3.0,0.0,56.0,3.0,0.0,0.0,1.0,6.0,9.0,1.0,9.0,10.0,13643.0,6.0,3.0,9.33333333333,1.0,1.0,0.0,1.0,6.0,1.0,7.0,0
1,0,7f7c4dadd4d846382b5db460a0974fe9,2,25.0,1,2,1398614696,3813229.0,0.0,0.0,323.0,39.0,0.0,1.0,0.0,68.0,19.0,19.0,11056.0,80.0,0.0,25.0,211.0,0.0,21.0,15.0,3560206.0,0.0,0.0,0.0,48.0,196.0,362.0,3.0,362.0,381.0,1906614.5,6137.0,39.0,11022.3095975,2.72,3.2,0.0,1520.0,12.92,1.85714285714,14.7771428571,0
2,0,901c0195edc44042cf1ca29a73748440,1,14.0,1,1,1398692054,3996878.0,0.0,0.0,76.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,53008.0,6.0,0.0,14.0,40.0,0.0,0.0,1.0,3975602.0,17.0,0.0,0.0,13.0,39.0,76.0,0.0,76.0,0.0,1998439.0,0.0,0.0,52310.5526316,0.214285714286,0.428571428571,0.0,0.0,5.42857142857,0.0,5.42857142857,0
3,0,14ee173ca0c0006f5f6f049b633272f0,1,5.0,2,3,1393266677,91576.0,0.0,0.0,63.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,31.0,16.0,0.0,5.0,39.0,0.0,0.0,0.0,1939.0,0.0,0.0,0.0,5.0,39.0,63.0,3.0,63.0,0.0,30525.3333333,0.0,0.0,30.7777777778,3.6,3.2,0.0,0.0,12.6,0.0,12.6,2
4,0,14ee173ca0c0006f5f6f049b633272f0,3,-4.0,2,3,1393356928,89956.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,12.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,1.0,5.0,7.0,2.0,7.0,0.0,29985.3333333,0.0,0.0,10.5714285714,2.0,2.0,0.0,0.0,7.0,0.0,7.0,0
5,0,384d1d3f966a25310d3d400b0f0dc67a,1,0.0,1,1,1393237737,56371.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,28185.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33333333333,1.33333333333,0
6,0,3a9ed023a7ffd4fbe0b8b8c0ef6c646d,2,7.0,1,2,1393840933,525163.0,0.0,0.0,40.0,29.0,0.0,1.0,2.0,16.0,14.0,17.0,9017.0,16.0,0.0,7.0,40.0,2.0,12.0,0.0,351692.0,0.0,80.0,2.0,8.0,40.0,69.0,2.0,69.0,83.0,262581.5,560.0,29.0,8792.3,2.28571428571,2.28571428571,32.0,224.0,5.71428571429,2.41666666667,8.13095238095,0
7,0,2abd2d4c1d53a253ac182c3df6786bb1,1,16.0,2,2,1396993725,3203302.0,0.0,0.0,20.0,292.0,3.0,1.0,10.0,0.0,214.0,229.5,147418.0,0.0,1.0,16.0,20.0,12.0,168.0,19.0,2800951.0,0.0,240.0,9.0,1.0,1.0,312.0,1.0,312.0,526.0,1067767.33333,4280.0,292.0,140047.55,0.0,0.0,0.0,0.0,1.25,1.7380952381,2.9880952381,1
8,0,2abd2d4c1d53a253ac182c3df6786bb1,2,0.0,2,2,1397681329,687604.0,0.0,0.0,0.0,241.0,3.0,0.0,9.0,0.0,186.0,200.5,0.0,0.0,2.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,241.0,427.0,229201.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,2.41,0
9,0,f1509eb9d24472ffbdb0653b04da2c14,3,6.0,1,3,1393359135,179697.0,0.0,0.0,107.0,10.0,0.0,1.0,0.0,34.0,3.0,3.0,1683.0,29.0,0.0,6.0,71.0,0.0,4.0,0.0,178473.0,0.0,0.0,0.0,8.0,71.0,117.0,4.0,117.0,120.0,89848.5,321.0,10.0,1667.97196262,5.66666666667,4.83333333333,0.0,87.0,17.8333333333,2.5,20.3333333333,0
